timestamp,open,high,low,close,volume
2026-02-18 14:41:00,0.0958,0.0958,0.0958,0.0958,320,0.0958,1
2026-02-18 17:33:00,0.0961,0.0961,0.0961,0.0961,5000,0.0961,1
2026-02-18 17:34:00,0.0957,0.0957,0.0957,0.0957,5000,0.0957,1
2026-02-19 18:12:00,0.0914,0.0914,0.0914,0.0914,365,0.0914,1
2026-02-20 18:58:00,0.1024,0.1024,0.1024,0.1024,239,0.1024,1
2026-02-23 14:58:00,0.0907,0.0907,0.0907,0.0907,2200,0.0907,1
2026-02-23 15:44:00,0.0907,0.0907,0.0907,0.0907,2000,0.0907,2
2026-02-24 16:16:00,0.085,0.085,0.085,0.085,5000,0.085,1
2026-02-24 16:41:00,0.0544,0.0843,0.0544,0.0843,20000,0.0693,2
2026-02-24 17:36:00,0.0846,0.0846,0.0846,0.0846,10000,0.0846,1
2026-02-25 16:46:00,0.0846,0.0846,0.0846,0.0846,300,0.0846,1
2026-02-26 14:40:00,0.0825,0.0825,0.0825,0.0825,10000,0.0825,1
2026-02-26 16:20:00,0.0899,0.0899,0.0899,0.0899,5000,0.0899,1
2026-02-26 20:46:00,0.0907,0.0907,0.0907,0.0907,4000,0.0907,1
2026-02-27 19:45:00,0.0846,0.0846,0.0846,0.0846,500,0.0846,1
2026-03-02 16:24:00,0.0955,0.0955,0.0955,0.0955,110,0.0955,1
2026-03-02 19:33:00,0.0675,0.0675,0.0675,0.0675,1000,0.0675,1
2026-03-03 14:42:00,0.0861,0.0861,0.0788,0.0788,18000,0.0816,8
2026-03-03 18:51:00,0.1025,0.1025,0.1025,0.1025,1000,0.1025,1
2026-03-03 19:21:00,0.1044,0.1044,0.1044,0.1044,211,0.1044,1
2026-03-04 14:30:00,0.0925,0.0925,0.0925,0.0925,800,0.0925,1
2026-03-04 19:53:00,0.0918,0.0918,0.0918,0.0918,250,0.0918,1
2026-03-10 15:55:00,0.0849,0.0849,0.0849,0.0849,200,0.0849,1
2026-03-10 17:15:00,0.1052,0.1052,0.1052,0.1052,600,0.1052,1
2026-03-10 17:54:00,0.0977,0.0977,0.0977,0.0977,5000,0.0977,1
2026-03-10 17:55:00,0.0934,0.0935,0.0934,0.0935,10000,0.0935,2
2026-03-10 17:56:00,0.09,0.09,0.09,0.09,35000,0.09,1
2026-03-10 19:42:00,0.07,0.07,0.07,0.07,800,0.07,1
2026-03-12 13:52:00,0.1,0.1,0.1,0.1,5000,0.1,1
2026-03-12 14:33:00,0.1,0.1,0.1,0.1,7000,0.1,1
2026-03-12 16:19:00,0.1,0.1,0.1,0.1,3000,0.1,1
2026-03-13 17:31:00,0.0981,0.0981,0.0981,0.0981,2000,0.0981,1
2026-03-16 17:30:00,0.0939,0.0939,0.0939,0.0939,1000,0.0939,1
2026-03-17 15:39:00,0.0791,0.0791,0.0791,0.0791,480,0.0791,1
2026-03-17 16:52:00,0.0996,0.0996,0.0996,0.0996,1500,0.0995,1
2026-03-18 17:22:00,0.10364,0.10364,0.10364,0.10364,600,0.1036,1
2026-03-18 18:18:00,0.104,0.104,0.104,0.104,700,0.104,1
2026-03-20 15:43:00,0.0997,0.0997,0.0997,0.0997,10000,0.0997,1
